X,Voice,Number,Subject,Reflexive,TempLoc,Aspect,SpatAdv,Epoch,RelClause,Aux
164,Active,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,Aux
165,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
166,Active,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,NoRelCl,Aux
167,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
168,Active,Pl,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,NoAux
169,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
170,Active,Sg,Subj,Reflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,Aux
171,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,SpatAdv,middle,RelCl,Aux
172,Passive,Sg,Subj,Nonreflexive,FALSE,Impf,SpatAdv,middle,RelCl,Aux
173,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
174,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,RelCl,Aux
175,Passive,Sg,Subj,Nonreflexive,TRUE,Impf,NoSpatAdv,middle,RelCl,Aux
176,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
177,Passive,Sg,Subj,Nonreflexive,TRUE,Pf,SpatAdv,middle,RelCl,NoAux
178,Passive,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
179,Active,Sg,Subj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
180,Active,Pl,NoSubj,Nonreflexive,FALSE,Impf,NoSpatAdv,middle,NoRelCl,Aux
181,Active,Pl,NoSubj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,RelCl,Aux
182,Active,Sg,Subj,Nonreflexive,TRUE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
183,Active,Sg,Subj,Reflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
184,Active,Sg,Subj,Nonreflexive,FALSE,Pf,SpatAdv,middle,NoRelCl,Aux
185,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,NoAux
186,Active,Sg,Subj,Nonreflexive,FALSE,Pf,NoSpatAdv,middle,NoRelCl,Aux
