X,CONSTRUCTION,VERB,REDUCED,PARTICIPLE
602,theme,po,no,yes
603,theme,po,no,yes
604,theme,po,no,yes
605,theme,po,no,yes
606,theme,po,no,yes
607,theme,po,no,yes
608,theme,po,no,yes
609,theme,po,no,yes
610,theme,po,no,yes
611,theme,po,no,yes
612,theme,po,no,yes
613,theme,po,no,yes
614,theme,po,no,yes
615,theme,po,no,yes
616,theme,po,no,yes
617,theme,po,no,yes
618,theme,po,no,yes
619,theme,po,no,yes
620,theme,po,no,yes
621,theme,po,no,yes
622,theme,po,no,yes
623,theme,po,no,yes
624,theme,po,no,yes
625,theme,po,no,yes
626,theme,po,no,yes
627,theme,po,no,yes
628,theme,po,no,yes
629,theme,po,no,yes
630,theme,po,no,yes
631,theme,po,no,yes
632,theme,po,no,yes
633,theme,po,no,yes
634,theme,po,no,yes
635,theme,po,no,yes
636,theme,po,no,yes
637,theme,po,no,yes
638,theme,po,no,yes
639,theme,po,no,yes
640,theme,po,no,yes
641,theme,po,no,yes
642,theme,po,no,yes
643,theme,po,no,yes
644,theme,po,no,yes
645,theme,po,no,yes
646,theme,po,no,yes
647,theme,po,no,yes
648,theme,po,no,yes
649,theme,po,no,yes
650,theme,po,no,yes
651,theme,po,no,yes
652,theme,po,no,yes
653,theme,po,no,yes
654,theme,po,no,yes
655,theme,po,no,yes
656,theme,po,no,yes
657,theme,po,no,yes
658,theme,po,no,yes
659,theme,po,no,yes
660,theme,po,no,yes
661,theme,po,no,yes
662,theme,po,no,yes
663,theme,po,no,yes
664,theme,po,no,yes
665,theme,po,no,yes
666,theme,po,no,yes
667,theme,po,no,yes
668,theme,po,no,yes
669,theme,po,no,yes
670,theme,po,no,yes
671,theme,po,no,yes
672,theme,po,no,yes
673,theme,po,no,yes
674,theme,po,no,yes
675,theme,po,no,yes
676,theme,po,no,yes
677,theme,po,no,yes
678,theme,po,no,yes
679,theme,po,no,yes
680,theme,po,no,yes
681,theme,po,no,yes
682,theme,po,no,yes
683,theme,po,no,yes
684,theme,po,no,yes
685,theme,po,no,yes
686,theme,po,no,yes
687,theme,po,no,yes
688,theme,po,no,yes
689,theme,po,no,yes
690,theme,po,no,yes
691,theme,po,no,yes
692,theme,po,no,yes
693,theme,po,no,yes
694,theme,po,no,yes
695,theme,po,no,yes
696,theme,po,no,yes
697,theme,po,no,yes
698,theme,po,no,yes
699,theme,po,no,yes
700,theme,po,no,yes
701,theme,po,no,yes
702,theme,po,no,yes
703,theme,po,no,yes
704,theme,po,no,yes
705,theme,po,no,yes
706,theme,po,no,yes
707,theme,po,no,yes
708,theme,po,no,yes
709,theme,po,no,yes
710,theme,po,no,yes
711,theme,po,no,yes
712,theme,po,no,yes
713,theme,po,no,yes
714,theme,po,no,yes
715,theme,po,no,yes
716,theme,po,no,yes
717,theme,po,no,yes
718,theme,po,no,yes
719,theme,po,no,yes
720,theme,po,no,yes
721,theme,po,no,yes
722,theme,po,no,yes
723,theme,po,no,yes
724,theme,po,no,yes
725,theme,po,no,yes
726,theme,po,no,yes
727,theme,po,no,yes
728,theme,po,no,yes
729,theme,po,no,yes
730,theme,po,no,yes
731,theme,po,no,yes
732,theme,po,no,yes
733,theme,po,no,yes
734,theme,po,no,yes
735,theme,po,no,yes
736,theme,po,no,yes
737,theme,po,no,yes
738,theme,po,no,yes
739,theme,po,no,yes
740,theme,po,no,yes
741,theme,po,no,yes
742,theme,po,no,yes
743,theme,po,no,yes
744,theme,po,no,yes
745,theme,po,no,yes
746,theme,po,no,yes
747,theme,po,no,yes
748,theme,po,no,yes
749,theme,po,no,yes
750,theme,po,no,yes
751,theme,po,no,yes
752,theme,po,no,yes
753,theme,po,no,yes
754,theme,po,no,yes
755,theme,po,no,yes
756,theme,po,no,yes
757,theme,po,no,yes
758,theme,po,no,yes
759,theme,po,no,yes
760,theme,po,no,yes
761,theme,po,no,yes
762,theme,po,no,yes
763,theme,po,no,yes
764,theme,po,no,yes
765,theme,po,no,yes
766,theme,po,no,yes
767,theme,po,no,yes
768,theme,po,no,yes
769,theme,po,no,yes
770,theme,po,no,yes
771,theme,po,no,yes
772,theme,po,no,yes
773,theme,po,no,yes
774,theme,po,no,yes
775,theme,po,no,yes
776,theme,po,no,yes
777,theme,po,no,yes
778,theme,po,no,yes
779,theme,po,no,yes
780,theme,po,no,yes
781,theme,po,no,yes
782,theme,po,no,yes
783,theme,po,no,yes
784,theme,po,no,yes
785,theme,po,no,yes
786,theme,po,no,yes
787,theme,po,no,yes
788,theme,po,no,yes
789,theme,po,no,yes
790,theme,po,no,yes
791,theme,po,no,yes
792,theme,po,no,yes
793,theme,po,no,yes
794,theme,po,no,yes
795,theme,po,no,yes
796,theme,po,no,yes
797,theme,po,no,yes
798,theme,po,no,yes
799,theme,po,no,yes
800,theme,po,no,yes
801,theme,po,no,yes
802,theme,po,no,yes
803,theme,po,no,yes
804,theme,po,no,yes
805,theme,po,no,yes
806,theme,po,no,yes
807,theme,po,no,yes
808,theme,po,no,yes
809,theme,po,no,yes
810,theme,po,no,yes
811,theme,po,no,yes
812,theme,po,no,yes
813,theme,po,no,yes
814,theme,po,no,yes
815,theme,po,no,yes
816,theme,po,no,yes
817,theme,po,no,yes
818,theme,po,no,yes
819,theme,po,no,yes
820,theme,po,no,yes
821,theme,po,no,yes
822,theme,po,no,yes
823,theme,po,no,yes
824,theme,po,no,yes
825,theme,po,no,yes
826,theme,po,no,yes
827,theme,po,no,yes
828,theme,po,no,yes
829,theme,po,no,yes
830,theme,po,no,yes
831,theme,po,no,yes
832,theme,po,no,yes
833,theme,po,no,yes
834,theme,po,no,yes
835,theme,po,no,yes
836,theme,po,no,yes
837,theme,po,no,yes
838,theme,po,no,yes
839,theme,po,no,yes
840,theme,po,no,yes
841,theme,po,no,yes
842,theme,po,no,yes
843,theme,po,no,yes
844,theme,po,no,yes
845,theme,po,no,yes
846,theme,po,no,yes
847,theme,po,no,yes
848,theme,po,no,yes
849,theme,po,no,yes
850,theme,po,no,yes
851,theme,po,no,yes
852,theme,po,no,yes
853,theme,po,no,yes
854,theme,po,no,yes
855,theme,po,no,yes
856,theme,po,no,yes
857,theme,po,no,yes
858,theme,po,no,yes
859,theme,po,no,yes
860,theme,po,no,yes
861,theme,po,no,yes
862,theme,po,no,yes
863,theme,po,no,yes
864,theme,po,no,yes
865,theme,po,no,yes
866,theme,po,no,yes
867,theme,po,no,yes
868,theme,po,no,yes
869,theme,po,no,yes
870,theme,po,no,yes
871,theme,po,no,yes
872,theme,po,no,yes
873,theme,po,no,yes
874,theme,po,no,yes
875,theme,po,no,yes
876,theme,po,no,yes
877,theme,po,no,yes
878,theme,po,no,yes
879,theme,po,no,yes
880,theme,po,no,yes
881,theme,po,no,yes
882,theme,po,no,yes
883,theme,po,no,yes
884,theme,po,no,yes
885,theme,po,no,yes
886,theme,po,no,yes
887,theme,po,no,yes
888,theme,po,no,yes
889,theme,po,no,yes
890,theme,po,no,yes
891,theme,po,no,yes
892,theme,po,no,yes
893,theme,po,no,yes
894,theme,po,no,yes
895,theme,po,no,yes
896,theme,po,no,yes
897,theme,po,no,yes
898,theme,po,no,yes
899,theme,po,no,yes
900,theme,po,no,yes
901,theme,po,no,yes
902,theme,po,no,yes
903,theme,po,no,yes
904,theme,po,no,yes
905,theme,po,no,yes
906,theme,po,no,yes
907,theme,po,no,yes
908,theme,po,no,yes
909,theme,po,no,yes
910,theme,po,no,yes
911,theme,po,no,yes
912,theme,po,no,yes
913,theme,po,no,yes
914,theme,po,no,yes
915,theme,po,no,yes
916,theme,po,no,yes
917,theme,po,no,yes
918,theme,po,no,yes
919,theme,po,no,yes
920,theme,po,no,yes
921,theme,po,no,yes
922,theme,po,no,yes
923,theme,po,no,yes
924,theme,po,no,yes
925,theme,po,no,yes
926,theme,po,no,yes
927,theme,po,no,yes
928,theme,po,no,yes
929,theme,po,no,yes
930,theme,po,no,yes
931,theme,po,no,yes
932,theme,po,no,yes
933,theme,po,no,yes
934,theme,po,no,yes
935,theme,po,no,yes
936,theme,po,no,yes
937,theme,po,no,yes
938,theme,po,no,yes
939,theme,po,no,yes
940,theme,po,no,yes
941,theme,po,no,yes
942,theme,po,no,yes
943,theme,po,no,yes
944,theme,po,no,yes
945,theme,po,no,yes
946,theme,po,no,yes
947,theme,po,no,yes
948,theme,po,no,yes
949,theme,po,no,yes
950,theme,po,no,yes
951,theme,po,no,yes
952,theme,po,no,yes
953,theme,po,no,yes
954,theme,po,no,yes
955,theme,po,no,yes
956,theme,po,no,yes
957,theme,po,no,yes
958,theme,po,no,yes
959,theme,po,no,yes
960,theme,po,no,yes
961,theme,po,no,yes
962,theme,po,no,yes
963,theme,po,no,yes
964,theme,po,no,yes
965,theme,po,no,yes
966,theme,po,no,yes
967,theme,po,no,yes
968,theme,po,no,yes
969,theme,po,no,yes
970,theme,po,no,yes
971,theme,po,no,yes
972,theme,po,no,yes
973,theme,po,no,yes
974,theme,po,no,yes
975,theme,po,no,yes
976,theme,po,no,yes
977,theme,po,no,yes
978,theme,po,no,yes
979,theme,po,no,yes
980,theme,po,no,yes
981,theme,po,no,yes
982,theme,po,no,yes
983,theme,po,no,yes
984,theme,po,no,yes
985,theme,po,no,yes
986,theme,po,no,yes
987,theme,po,no,yes
988,theme,po,no,yes
989,theme,po,no,yes
990,theme,po,no,yes
991,theme,po,no,yes
992,theme,po,no,yes
993,theme,po,no,yes
994,theme,po,no,yes
995,theme,po,no,yes
996,theme,po,no,yes
997,theme,po,no,yes
998,theme,po,no,yes
999,theme,po,no,yes
1000,theme,po,no,yes
1001,theme,po,no,yes
1002,theme,po,no,yes
1003,theme,po,no,yes
1004,theme,po,no,yes
1005,theme,po,no,yes
1006,theme,po,no,yes
1007,theme,po,no,yes
1008,theme,po,no,yes
1009,theme,po,no,yes
1010,theme,po,no,yes
1011,theme,po,no,yes
1012,theme,po,no,yes
1013,theme,po,no,yes
1014,theme,po,no,yes
1015,theme,po,no,yes
1016,theme,po,no,yes
1017,theme,po,no,yes
1018,theme,po,no,yes
1019,theme,za,no,yes
1020,theme,za,no,yes
1021,theme,za,no,yes
1022,theme,za,no,yes
1023,theme,za,no,yes
1024,theme,za,no,yes
1025,theme,za,yes,yes
1026,theme,za,yes,yes
1027,theme,za,yes,yes
1028,theme,za,yes,yes
1029,theme,za,yes,yes
1030,theme,po,yes,yes
1031,theme,po,yes,yes
1032,theme,po,yes,yes
1033,theme,po,yes,yes
1034,theme,po,yes,yes
1035,theme,po,yes,yes
1036,theme,po,yes,yes
1037,theme,po,yes,yes
1038,theme,po,yes,yes
1039,theme,po,yes,yes
1040,theme,po,yes,yes
1041,theme,po,yes,yes
1042,theme,po,yes,yes
1043,theme,po,yes,yes
1044,theme,po,yes,yes
1045,theme,po,yes,yes
1046,theme,po,yes,yes
1047,theme,po,yes,yes
1048,theme,po,yes,yes
1049,theme,po,yes,yes
1050,goal,zero,no,no
1051,goal,zero,no,no
1052,goal,zero,no,no
1053,goal,zero,no,no
1054,goal,zero,no,no
1055,goal,zero,no,no
1056,goal,zero,no,no
1057,goal,zero,no,no
1058,goal,zero,no,no
1059,goal,zero,no,no
1060,goal,zero,no,no
1061,goal,zero,no,no
1062,goal,zero,no,no
1063,goal,zero,no,no
1064,goal,zero,no,no
1065,goal,zero,no,no
1066,goal,zero,no,no
1067,goal,zero,no,no
1068,goal,zero,no,no
1069,goal,zero,no,no
1070,goal,zero,no,no
1071,goal,zero,no,no
1072,goal,zero,no,no
1073,goal,zero,no,no
1074,goal,zero,no,no
1075,goal,zero,no,no
1076,goal,zero,no,no
1077,goal,zero,no,no
1078,goal,zero,no,no
1079,goal,zero,no,no
1080,goal,zero,no,no
1081,goal,zero,no,no
1082,goal,na,no,no
1083,goal,na,no,no
1084,goal,na,no,no
1085,goal,na,no,no
1086,goal,na,no,no
1087,goal,na,no,no
1088,goal,na,no,no
1089,goal,na,no,no
1090,goal,na,no,no
1091,goal,na,no,no
1092,goal,na,no,no
1093,goal,na,no,no
1094,goal,na,no,no
1095,goal,na,no,no
1096,goal,na,no,no
1097,goal,na,no,no
1098,goal,na,no,no
1099,goal,na,no,no
1100,goal,na,no,no
1101,goal,na,no,no
1102,goal,na,no,no
1103,goal,na,no,no
1104,goal,na,no,no
1105,goal,na,no,no
1106,goal,na,no,no
1107,goal,na,no,no
1108,goal,na,no,no
1109,goal,na,no,no
1110,goal,na,no,no
1111,goal,na,no,no
1112,goal,na,no,no
1113,goal,na,no,no
1114,goal,na,no,no
1115,goal,na,no,no
1116,goal,na,no,no
1117,goal,na,no,no
1118,goal,na,no,no
1119,goal,na,no,no
1120,goal,na,no,no
1121,goal,na,no,no
1122,goal,na,no,no
1123,goal,na,no,no
1124,goal,na,no,no
1125,goal,na,no,no
1126,goal,na,no,no
1127,goal,na,no,no
1128,goal,na,no,no
1129,goal,na,no,no
1130,goal,na,no,no
1131,goal,na,no,no
1132,goal,na,no,no
1133,goal,na,no,no
1134,goal,na,no,no
1135,goal,na,no,no
1136,goal,na,no,no
1137,goal,na,no,no
1138,goal,na,no,no
1139,goal,na,no,no
1140,goal,na,no,no
1141,goal,na,no,no
1142,goal,na,no,no
1143,goal,na,no,no
1144,goal,na,no,no
1145,goal,na,no,no
1146,goal,na,no,no
1147,goal,na,no,no
1148,goal,na,no,no
1149,goal,na,no,no
1150,goal,na,no,no
1151,goal,na,no,no
1152,goal,za,no,no
1153,goal,za,no,no
1154,goal,za,no,no
1155,goal,za,no,no
1156,goal,za,no,no
1157,goal,za,no,no
1158,goal,za,no,no
1159,goal,za,no,no
1160,goal,za,no,no
1161,goal,za,no,no
1162,goal,za,no,no
1163,goal,za,no,no
1164,goal,za,no,no
1165,goal,za,no,no
1166,goal,za,no,no
1167,goal,za,no,no
1168,goal,za,no,no
