X,Base,PrefixedVerb,ShiftTrans,Prefix,PrefixStacking,ShiftAspect,BaseFreqWrong,FreqPrefVerb,PerfectiveType,SemanticGroup,SemanticGroupFullName,OtherPrefPossible,FreqBase,SemanticGroupVery,SemanticGroupProto,Frequency,Outcomes,Cues
97,_________,____________,intr-tr,pre,stacked,imp-imp,3192,3719,not-applicable,super,superiority,no,3192,FALSE,FALSE,3719,pre,stacked_imp-imp_super_intr-tr_not-applicable
98,___________,______________,intr-intr,pre,stacked,imp-imp,635,133,not-applicable,very,thorough,no,635,TRUE,FALSE,133,pre,stacked_imp-imp_very_intr-intr_not-applicable
99,_________,____________,tr-tr,pre,stacked,imp-imp,670,582,not-applicable,super,superiority,no,670,FALSE,FALSE,582,pre,stacked_imp-imp_super_tr-tr_not-applicable
100,________,___________,tr-tr,pre,stacked,pf-pf,978,112,specialized,very,thorough,no,978,TRUE,FALSE,112,pre,stacked_pf-pf_very_tr-tr_specialized
101,_______,__________,intr-tr,pre,stacked,pf-pf,493,401,specialized,super,superiority,no,493,FALSE,FALSE,401,pre,stacked_pf-pf_super_intr-tr_specialized
102,_________,____________,intr-tr,pre,stacked,imp-imp,27,391,not-applicable,super,superiority,no,27,FALSE,FALSE,391,pre,stacked_imp-imp_super_intr-tr_not-applicable
103,______,_________,tr-tr,pre,notStacked,imp-imp,6756,5,not-applicable,transf,transfer,yes,6756,FALSE,TRUE,5,pre,notStacked_imp-imp_transf_tr-tr_not-applicable
104,______,_________,tr-tr,pre,stacked,pf-pf,4033,1790,specialized,super,superiority,no,4033,FALSE,FALSE,1790,pre,stacked_pf-pf_super_tr-tr_specialized
105,____,_______,intr-intr,pre,notStacked,imp-imp,2694330,811,not-applicable,ovc-dur,overcome-duration,yes,2694330,FALSE,FALSE,811,pre,notStacked_imp-imp_ovc-dur_intr-intr_not-applicable
106,______,_________,intr-intr,pre,notStacked,imp-imp,75568,5334,not-applicable,ovc-dur,overcome-duration,yes,75568,FALSE,FALSE,5334,pre,notStacked_imp-imp_ovc-dur_intr-intr_not-applicable
107,_______,__________,intr-intr,pre,notStacked,imp-pf,11,1,specialized,transf-met,transfer metaphorical,no,11,TRUE,FALSE,1,pre,notStacked_imp-pf_transf-met_intr-intr_specialized
108,___________,_______________,tr-tr,pere,notStacked,imp-pf,119,2,specialized,super,superiority,no,119,FALSE,FALSE,2,pere,notStacked_imp-pf_super_tr-tr_specialized
109,_______________,___________________,tr-tr,pere,notStacked,imp-pf,1323,1,specialized,overdo,overdo,no,1323,FALSE,FALSE,1,pere,notStacked_imp-pf_overdo_tr-tr_specialized
110,____________,________________,tr-tr,pere,notStacked,imp-pf,331,3,specialized,redo,redo,no,331,FALSE,FALSE,3,pere,notStacked_imp-pf_redo_tr-tr_specialized
111,no,____________,no-tr,pere,notStacked,no-imp,0,3,not-applicable,seria,seriatim,no,0,FALSE,FALSE,3,pere,notStacked_no-imp_seria_no-tr_not-applicable
112,______,__________,tr-tr,pere,notStacked,imp-pf,1085,37,specialized,seria,seriatim,no,1085,FALSE,FALSE,37,pere,notStacked_imp-pf_seria_tr-tr_specialized
113,__________,______________,intr-intr,pere,notStacked,pf-pf,2,2,specialized,div,divide,no,2,FALSE,FALSE,2,pere,notStacked_pf-pf_div_intr-intr_specialized
114,__________,______________,intr-intr,pere,notStacked,pf-pf,2,2,specialized,transf,transfer,no,2,FALSE,TRUE,2,pere,notStacked_pf-pf_transf_intr-intr_specialized
115,________,____________,tr-tr,pere,notStacked,pf-pf,2752,6,specialized,transf,transfer,no,2752,FALSE,TRUE,6,pere,notStacked_pf-pf_transf_tr-tr_specialized
116,_______,_______________,tr-intr,pere,notStacked,imp-imp,2085,9,not-applicable,intrch,interchange,no,2085,FALSE,FALSE,9,pere,notStacked_imp-imp_intrch_tr-intr_not-applicable
117,no,_______________,tr-intr,pere,notStacked,no-imp,0,9,not-applicable,div,divide,no,0,FALSE,FALSE,9,pere,notStacked_no-imp_div_tr-intr_not-applicable
118,no,_____________,no-tr,pere,notStacked,no-imp,0,6,not-applicable,redo,redo,no,0,FALSE,FALSE,6,pere,notStacked_no-imp_redo_no-tr_not-applicable
119,_______,___________,tr-tr,pere,notStacked,imp-pf,2085,11,specialized,seria,seriatim,no,2085,FALSE,FALSE,11,pere,notStacked_imp-pf_seria_tr-tr_specialized
120,________,____________,intr-tr,pere,notStacked,imp-pf,999,200,specialized,super,superiority,no,999,FALSE,FALSE,200,pere,notStacked_imp-pf_super_intr-tr_specialized
121,______,______________,tr-intr,pere,notStacked,imp-imp,9538,37,not-applicable,intrch,interchange,no,9538,FALSE,FALSE,37,pere,notStacked_imp-imp_intrch_tr-intr_not-applicable
122,______,__________,tr-tr,pere,notStacked,imp-pf,9538,4,specialized,seria,seriatim,no,9538,FALSE,FALSE,4,pere,notStacked_imp-pf_seria_tr-tr_specialized
123,______,__________,tr-tr,pere,notStacked,imp-pf,9538,4,specialized,transf,transfer,no,9538,FALSE,TRUE,4,pere,notStacked_imp-pf_transf_tr-tr_specialized
124,______,__________,intr-tr,pere,notStacked,imp-pf,6869,5,specialized,super,superiority,no,6869,FALSE,FALSE,5,pere,notStacked_imp-pf_super_intr-tr_specialized
125,______,__________,intr-tr,pere,notStacked,imp-pf,6869,5,specialized,ovc-dur,overcome-duration,no,6869,FALSE,FALSE,5,pere,notStacked_imp-pf_ovc-dur_intr-tr_specialized
126,_______,___________,tr-tr,pere,notStacked,imp-pf,344,25,specialized,seria,seriatim,no,344,FALSE,FALSE,25,pere,notStacked_imp-pf_seria_tr-tr_specialized
127,_______,___________,tr-tr,pere,notStacked,imp-pf,344,25,specialized,redo,redo,no,344,FALSE,FALSE,25,pere,notStacked_imp-pf_redo_tr-tr_specialized
